main_site,other_site,year,convergence_correlation
1,2,1,0.17104260458153492
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,25,2,0.007618002105430187
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,25,2,0.007618002105430187
1,26,1,1.670639765730372e-05
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
1,5,3,-0.02865050601551723
1,6,1,0.38536160620806575
1,6,2,-0.05745268833662865
1,9,1,0.1404116295811663
1,9,2,0.005401870410181922
1,9,3,-0.012696291918535526
1,10,1,-0.0011234710566375267
1,10,2,0.01518612723051476
1,10,3,0.007757482057237636
1,11,1,0.14684287179824132
1,11,2,0.033956659687883924
1,11,3,0.01568558329977113
1,12,1,0.08010934696248469
1,12,2,0.010105277052341783
1,13,1,0.09381189857682198
1,13,2,0.0004298933802345139
1,13,3,0.0023268217661525223
1,23,1,-0.20599412871264489
1,24,1,0.036407017629580006
1,24,2,0.01861606698088791
1,25,1,0.16270689109449468
1,25,2,0.007618002105430187
1,26,1,1.670639765730372e-05
1,27,1,-0.03514918039910469
1,2,1,0.17104260458153492
1,2,2,-0.009775996720001108
1,2,4,0.06165085871664831
1,4,1,0.36653992560714294
1,4,2,-0.03566716810023709
1,4,3,-0.015573770709423736
1,5,1,0.37607039743933707
1,5,2,0.048466984664173235
